DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,ABUNDANCE
COLOR,#ff0000
DATA
588_NapA,0.75
586_NapA,0.75
591_NapA,0.75
756_NapA,0.75
844_NapA,1.0
1_NapA,1.0
1087_NapA,1.0
468_NapA,1.0909090909090908
134_NapA,1.0909090909090908
365_NapA,0.09090909090909091
452_NapA,0.09090909090909091
732_NapA,0.09090909090909091
1027_NapA,0.09090909090909091
161_NapA,0.09090909090909091
100_NapA,0.09090909090909091
84_NapA,0.09090909090909091
34_NapA,0.09090909090909091
641_NapA,0.09090909090909091
615_NapA,1.0
2_NapA,1.0
