LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NapA,Root | SP|P39185|NAPA_ALCEU/2-831
2_NapA,Root | SP|Q56350|NAPA_PARDT/2-831
3_NapA,Methanosarcinales | tr|A0A662RB39|A0A662RB39_9EURY
4_NapA,Gordonia sp. YY1 | tr|A0A7J5WZX3|A0A7J5WZX3_9ACTN
5_NapA,Mycobacterium heckeshornense | tr|A0A7R7TZ66|A0A7R7TZ66_9MYCO
6_NapA,Mycobacterium sp. THAF192 | tr|A0A5P8ZPY8|A0A5P8ZPY8_9MYCO
7_NapA,Mycobacterium talmoniae | tr|A0A2S8BGI3|A0A2S8BGI3_9MYCO
8_NapA,Nocardioides aquaticus | tr|A0A8E6YGF8|A0A8E6YGF8_9ACTN
9_NapA,Persephonella marina | tr|C0QPT0|C0QPT0_PERMH
10_NapA,Persephonella marina | tr|C0QTS6|C0QTS6_PERMH
11_NapA,Sulfurihydrogenibium sp. (strain YO3AOP1) | tr|B2V808|B2V808_SULSY
12_NapA,Cytophaga hutchinsonii | tr|A0A6N4SQJ1|A0A6N4SQJ1_CYTH3
13_NapA,Flavobacterium bizetiae | tr|A0A6J4GMW6|A0A6J4GMW6_9FLAO
14_NapA,Maribacter sp. (strain HTCC2170 / KCCM 42371) | tr|A4AMZ6|A4AMZ6_MARSH
15_NapA,Gracilimonas mengyeensis | tr|A0A521BLV5|A0A521BLV5_9BACT
16_NapA,Calditerrivibrio nitroreducens | tr|E4TGR3|E4TGR3_CALNY
17_NapA,Denitrovibrio acetiphilus | tr|D4H1E4|D4H1E4_DENA2
18_NapA,Flexistipes sinusarabici | tr|F8E848|F8E848_FLESM
19_NapA,Marinithermus hydrothermalis | tr|F2NPN8|F2NPN8_MARHT
20_NapA,Bacillus sp. | tr|A0A3C2CR25|A0A3C2CR25_BACSP
21_NapA,Calderihabitans maritimus | tr|A0A1Z5HWZ3|A0A1Z5HWZ3_9THEO
22_NapA,Selenomonas ruminantium | tr|I0GVN9|I0GVN9_SELRL
23_NapA,Nitrospiraceae | tr|A0A349EJS4|A0A349EJS4_9BACT
24_NapA,Nitrospiraceae | tr|A0A3C0TPY0|A0A3C0TPY0_9BACT
25_NapA,Candidatus Nitrospira inopinata | tr|A0A0S4KZV2|A0A0S4KZV2_9BACT
26_NapA,Acidithiobacillus ferrivorans SS3 | 743299.Acife_2078
27_NapA,Thermithiobacillus tepidarius DSM 3134 | 1123368.AUIS01000005_gene431
28_NapA,Thermithiobacillus tepidarius DSM 3134 | 1123368.AUIS01000021_gene1009
29_NapA,alpha proteobacterium Mf 1.05b.01 | 1282876.BAOK01000001_gene3547
30_NapA,Asticcacaulis biprosthecum C19 | 715226.ABI_16090
31_NapA,Asticcacaulis excentricus CB 48 | 573065.Astex_2601
32_NapA,Brevundimonas sp. BAL3 | 391600.ABRU01000043_gene2677
33_NapA,Caulobacter segnis ATCC 21756 | 509190.Cseg_2056
34_NapA,Caulobacter segnis ATCC 21756 | 509190.Cseg_2507
35_NapA,Caulobacter sp. K31 | 366602.Caul_2947
36_NapA,Caulobacter sp. UNC358MFTsu5.1 | 1449049.JONW01000009_gene4450
37_NapA,Caulobacter vibrioides CB15 | 190650.CC_0617
38_NapA,Phenylobacterium zucineum HLK1 | 450851.PHZ_c0971
39_NapA,Hyphomicrobiales | tr|A0A192IPF6|A0A192IPF6_9HYPH
40_NapA,Hyphomicrobiales | tr|A0A2N6AYE2|A0A2N6AYE2_9HYPH
41_NapA,Hyphomicrobiales | tr|A0A2N6BM61|A0A2N6BM61_9HYPH
42_NapA,Hyphomicrobiales | tr|A0A6G6WXN3|A0A6G6WXN3_9HYPH
43_NapA,Hyphomicrobiales | tr|A0A7V0WLV6|A0A7V0WLV6_9HYPH
44_NapA,Hyphomicrobiales | tr|A0A848Y9I3|A0A848Y9I3_9HYPH
45_NapA,Siculibacillus lacustris | tr|A0A4Q9VVJ9|A0A4Q9VVJ9_9HYPH
46_NapA,Aureimonas ureilytica DSM 18598 = NBRC 106430 | 1121028.ARQE01000001_gene3681
47_NapA,Fulvimarina pelagi HTCC2506 | 314231.FP2506_14454
48_NapA,Fulvimarina pelagi HTCC2506 | 314231.FP2506_17949
49_NapA,Martelella mediterranea DSM 17316 | 1122214.AQWH01000007_gene1797
50_NapA,Beijerinckia indica subsp. indica ATCC 9039 | 395963.Bind_1969
51_NapA,Beijerinckia mobilis | 231434.JQJH01000001_gene1754
52_NapA,Methylocapsa aurea | 663610.JQKO01000011_gene3306
53_NapA,Methylocella silvestris BL2 | 395965.Msil_3772
54_NapA,Methyloferula stellata AR4 | 876269.ARWA01000001_gene1098
55_NapA,Methyloferula stellata AR4 | 876269.ARWA01000001_gene2071
56_NapA,Rhodoblastus sp. | tr|A0A7L5XW25|A0A7L5XW25_9HYPH
57_NapA,Bradyrhizobiaceae | tr|A0A363TXP9|A0A363TXP9_9BRAD
58_NapA,Afipia broomeae ATCC 49717 | 883078.HMPREF9695_01872
59_NapA,Afipia sp. 1NLS2 | 666684.AfiDRAFT_0376
60_NapA,Afipia sp. 1NLS2 | 666684.AfiDRAFT_2235
61_NapA,Afipia sp. P52-10 | 1429916.X566_20720
62_NapA,Bosea sp. 117 | 1125973.JNLC01000012_gene1051
63_NapA,Bosea sp. LC85 | 1502851.FG93_05546
