Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AHZ90671  coded_by=<1..>587,organism=Nitrosotalea sp. Nd2,definition=ammonia monooxygenase subunit A	XmoA	1	195	r__Root; d__Archaea; p__Thaumarchaeota	1.0	0	1.8e-57	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AJZ76360  coded_by=386880..387530,organism=Candidatus Nitrosotenuis cloacae,definition=ammonia monooxygenase	XmoA	2	214	r__Root; d__Archaea; p__Thaumarchaeota	1.0	5	1.7e-60	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	EPA04544  coded_by=25635..26162,organism=Candidatus Nitrosoarchaeum limnia BG20,definition=hypothetical protein	XmoA	1	173	r__Root; d__Archaea; p__Thaumarchaeota	1.0	7	1.5e-48	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABY83788  coded_by=1220..>1834,organism=Candidatus Nitrosocaldus yellowstonii,definition=putative archaeal ammonia monooxygenase subunit A	XmoA	1	205	r__Root; d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Candidatus Nitrosocaldales; f__Candidatus Nitrosocaldaceae; g__Candidatus Nitrosocaldus	1.0	14	1.4e-62	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAB53437  coded_by=1289..2113,organism=Nitrosospira sp. NpAV,definition=ammonia monooxygenase 3 subunit A	XmoA	9	250	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira	1.0	22	8.3e-107	1.0	0.0096	0.0095,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABB69924  coded_by=<1..>626,organism=Nitrosovibrio sp. FJI82,definition=ammonia monooxygenase subunit A	XmoA	1	190	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira	1.0	23	4.6e-83	1.0	0.048	0.0163,0.0317,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABB69922  coded_by=<1..>626,organism=Nitrosospira sp. NIJS16,definition=ammonia monooxygenase subunit A	XmoA	1	190	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira	1.0	24	6.1e-83	1.0	0.0306	0.0073,0.0233,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABM54175  coded_by=<1..>725,organism=Nitrosospira sp. Wyke8,definition=AmoA	XmoA	1	235	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira	1.0	26	3.3e-107	0.5782358332	0.0516	0.009,0.0098,0.0328
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AEJ00940  coded_by=1183040..1183864,organism=Nitrosomonas sp. Is79A3,definition=methane monooxygenase/ammonia monooxygenase, subunit A	XmoA	9	250	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas	1.0	30	1.9e-108	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAM38053  coded_by=2680..3534,organism=Haliea sp. ETY-M,definition=putative ethylene monooxygenase protein A	XmoA	14	254	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Haliea	1.0	49	4.2e-102	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAH22830  coded_by=1142..1954,organism=Methylococcaceae bacterium ET-SHO,definition=methane monooxygenase protein A1	XmoA	14	254	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae	1.0	52	9.3e-96	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAH22839  coded_by=2160..2948,organism=Methylococcaceae bacterium ET-HIRO,definition=methane monooxygenase protein A2	XmoA	13	253	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae	1.0	56	1.1e-101	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ACK55191  coded_by=1..861,organism=Methylacidiphilum kamchatkense,definition=PmoA1	XmoA	43	284	r__Root; d__Bacteria; p__Verrucomicrobia; c__Methylacidiphilae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum	1.0	66	9.4e-111	1.0	0.0185	0.0093,0.0091,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	CAE48352  coded_by=11186..11956,organism=Methylocystis sp. SC2,definition=Methylocystis strain SC2 clone, complete sequence	XmoA	13	254	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Methylocystis	1.0	77	8.6e-108	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AHI95955  coded_by=1087..1845,organism=Methylocystis sp. JTC3,definition=particulate methane monooxygenase subunit A	XmoA	12	252	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Methylocystis	1.0	82	1.2e-111	1.0	0.0277	0.0094,0.0183,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ATQ68209  coded_by=complement(2151261..2152019),organism=Methylosinus trichosporium OB3b,definition=methane monooxygenase/ammonia monooxygenase subunit A	XmoA	12	252	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Methylosinus	1.0	85	4.3e-113	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAD02578  coded_by=<1..>529,organism=thermophilic methanotroph HB,definition=particulate methane monooxygenase	XmoA	1	176	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylothermaceae; g__Methylomarinovum	1.0	96	1.5e-97	1.0	0.052	0.0264,0.0256,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAC04381  coded_by=<1..>529,organism=Methylocaldum szegediense,definition=particulate methane monooxygenase	XmoA	1	176	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylocaldum	1.0	99	7.1e-96	1.0	0.0624	0.0042,0.0583,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAK78887  coded_by=<1..>495,organism=Methylomagnum ishizawai,definition=particulate methane monooxygenase subunit alpha	XmoA	1	165	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomagnum	1.0	100	3.7e-89	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAA87217  coded_by=<1..>495,organism=Methylomicrobium album BG8,definition=particulate methane monooxygenase	XmoA	1	165	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomicrobium	1.0	105	3.6e-88	1.0	0.0063	0.0001,0.0062,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABD13901  coded_by=<1..>528,organism=Methylosoma difficile,definition=particulate methane monooxygenase A-subunit	XmoA	1	176	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter	1.0	108	2.4e-99	1.0	0.0731	0.0253,0.0478,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAC61804  coded_by=<1..>495,organism=Methylomicrobium pelagicum,definition=methane monooxygenase	XmoA	1	165	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomicrobium	1.0	112	1.6e-88	1.0	0.0002	0.0001,0.0001,0.0
